latitude,longitude,speed,sats
28.073558, -16.691482, 48.7, 4
28.073558, -16.691482, 48.7, 4
28.073558, -16.691482, 48.7, 4
28.073558, -16.691482, 48.7, 4
28.073538, -16.691498, 49.2, 4
28.073538, -16.691498, 49.2, 4
28.073538, -16.691498, 49.2, 4
28.073538, -16.691498, 49.2, 4
28.073518, -16.691514, 49.6, 4
28.073518, -16.691514, 49.6, 4
28.073518, -16.691514, 49.6, 4
28.073518, -16.691514, 49.6, 4
28.073498, -16.691529, 49.9, 4
28.073498, -16.691529, 49.9, 4
28.073498, -16.691529, 49.9, 4
28.073498, -16.691529, 49.9, 4
28.073477, -16.691546, 50.3, 4
28.073477, -16.691546, 50.3, 4
28.073477, -16.691546, 50.3, 4
28.073477, -16.691546, 50.3, 4
28.073455, -16.691562, 50.7, 4
28.073455, -16.691562, 50.7, 4
28.073455, -16.691562, 50.7, 4
28.073455, -16.691562, 50.7, 4
28.073432, -16.691578, 51.0, 4
28.073432, -16.691578, 51.0, 4
28.073432, -16.691578, 51.0, 4
28.073432, -16.691578, 51.0, 4
28.073409, -16.691594, 51.5, 4
28.073409, -16.691594, 51.5, 4
28.073409, -16.691594, 51.5, 4
28.073409, -16.691594, 51.5, 4
28.073386, -16.691610, 52.0, 4
28.073386, -16.691610, 52.0, 4
28.073386, -16.691610, 52.0, 4
28.073386, -16.691610, 52.0, 4
28.073362, -16.691626, 52.2, 4
28.073362, -16.691626, 52.2, 4
28.073362, -16.691626, 52.2, 4
28.073362, -16.691626, 52.2, 4
28.073338, -16.691641, 52.7, 4
28.073338, -16.691641, 52.7, 4
28.073338, -16.691641, 52.7, 4
28.073338, -16.691641, 52.7, 4
28.073314, -16.691656, 53.0, 4
28.073314, -16.691656, 53.0, 4
28.073314, -16.691656, 53.0, 4
28.073314, -16.691656, 53.0, 4
28.073290, -16.691671, 53.5, 4
28.073290, -16.691671, 53.5, 4
28.073290, -16.691671, 53.5, 4
28.073290, -16.691671, 53.5, 4
28.073266, -16.691686, 54.0, 4
28.073266, -16.691686, 54.0, 4
28.073266, -16.691686, 54.0, 4
28.073266, -16.691686, 54.0, 4
28.073242, -16.691701, 54.3, 4
28.073242, -16.691701, 54.3, 4
28.073242, -16.691701, 54.3, 4
28.073242, -16.691701, 54.3, 4
28.073217, -16.691716, 54.7, 4
28.073217, -16.691716, 54.7, 4
28.073217, -16.691716, 54.7, 4
28.073217, -16.691716, 54.7, 4
28.073192, -16.691731, 54.8, 4
28.073192, -16.691731, 54.8, 4
28.073192, -16.691731, 54.8, 4
28.073192, -16.691731, 54.8, 4
28.073168, -16.691746, 55.1, 4
28.073168, -16.691746, 55.1, 4
28.073168, -16.691746, 55.1, 4
28.073168, -16.691746, 55.1, 4
28.073143, -16.691761, 55.4, 4
28.073143, -16.691761, 55.4, 4
28.073143, -16.691761, 55.4, 4
28.073143, -16.691761, 55.4, 4
28.073119, -16.691775, 55.5, 4
28.073119, -16.691775, 55.5, 4
28.073119, -16.691775, 55.5, 4
28.073119, -16.691775, 55.5, 4
28.073094, -16.691790, 55.4, 4
28.073094, -16.691790, 55.4, 4
28.073094, -16.691790, 55.4, 4
28.073094, -16.691790, 55.4, 4
28.073070, -16.691805, 55.6, 4
28.073070, -16.691805, 55.6, 4
28.073070, -16.691805, 55.6, 4
28.073070, -16.691805, 55.6, 4
28.073045, -16.691820, 55.7, 4
28.073045, -16.691820, 55.7, 4
28.073045, -16.691820, 55.7, 4
28.073045, -16.691820, 55.7, 4
28.073020, -16.691834, 55.8, 4
28.073020, -16.691834, 55.8, 4
28.073020, -16.691834, 55.8, 4
28.073020, -16.691834, 55.8, 4
28.072995, -16.691849, 56.0, 4
28.072995, -16.691849, 56.0, 4
28.072995, -16.691849, 56.0, 4
28.072995, -16.691849, 56.0, 4
28.072969, -16.691864, 55.9, 4
28.072969, -16.691864, 55.9, 4
28.072969, -16.691864, 55.9, 4
28.072969, -16.691864, 55.9, 4
28.072944, -16.691879, 55.9, 4
28.072944, -16.691879, 55.9, 4
28.072944, -16.691879, 55.9, 4
28.072944, -16.691879, 55.9, 4
28.072919, -16.691893, 56.2, 4
28.072919, -16.691893, 56.2, 4
28.072919, -16.691893, 56.2, 4
28.072919, -16.691893, 56.2, 4
28.072894, -16.691908, 56.3, 4
28.072894, -16.691908, 56.3, 4
28.072894, -16.691908, 56.3, 4
28.072894, -16.691908, 56.3, 4
28.072869, -16.691922, 56.2, 4
28.072869, -16.691922, 56.2, 4
28.072869, -16.691922, 56.2, 4
28.072869, -16.691922, 56.2, 4
28.072844, -16.691937, 56.4, 4
28.072844, -16.691937, 56.4, 4
28.072844, -16.691937, 56.4, 4
28.072844, -16.691937, 56.4, 4
28.072819, -16.691952, 56.4, 4
28.072819, -16.691952, 56.4, 4
28.072819, -16.691952, 56.4, 4
28.072819, -16.691952, 56.4, 4
